Onset Threshold Test Results (sorted by F1 score)
==================================================
Onset  Precision  Recall     F1        
--------------------------------------------------
0.25   75.4       71.7       73.2      
0.3    78.1       68.6       72.8      
0.2    72.0       74.2       72.7      
0.35   80.0       65.1       71.3      
0.15   67.3       76.3       71.0      
0.4    81.6       60.7       68.9      
0.1    59.8       78.7       66.9      
0.45   82.6       55.0       65.0      
0.5    83.4       47.9       59.3      
0.55   84.2       38.0       50.4      
