onset,offset,frame,note_f1_percent,returncode,status
0.05,0.1,0.1,48.0,0,OK
0.06,0.1,0.1,53.0,0,OK
0.07,0.1,0.1,57.1,0,OK
0.08,0.1,0.1,60.3,0,OK
0.09,0.1,0.1,62.9,0,OK
0.1,0.1,0.1,65.0,0,OK
0.11,0.1,0.1,66.8,0,OK
0.12,0.1,0.1,68.2,0,OK
0.13,0.1,0.1,69.4,0,OK
0.14,0.1,0.1,70.4,0,OK
0.15,0.1,0.1,71.2,0,OK
0.16,0.1,0.1,71.8,0,OK
0.17,0.1,0.1,72.2,0,OK
0.18,0.1,0.1,72.5,0,OK
0.19,0.1,0.1,72.7,0,OK
0.2,0.1,0.1,72.8,0,OK
0.21,0.1,0.1,72.8,0,OK
0.22,0.1,0.1,72.6,0,OK
0.23,0.1,0.1,72.4,0,OK
0.24,0.1,0.1,72.2,0,OK
0.25,0.1,0.1,71.8,0,OK
